Timeslot,Room,Monday,Tuesday,Wednesday,Thursday,Friday
9-11,"""A1.04""",Interactie-ontwerp | Hoorcollege,Algoritmen en complexiteit | Practica | a,Netwerken en systeembeveiliging | Practica | b,Bioinformatica | Practica | b,Autonomous Agents 2 | Werkcollege | a
9-11,"""A1.06""",,,Bioinformatica | Werkcollege | b,Collectieve Intelligentie | Practica | c,Data Mining | Practica | a
9-11,"""A1.08""",Bioinformatica | Werkcollege | a,,Programmeren in Java 2 | Practica | d,Autonomous Agents 2 | Practica | a,Data Mining | Werkcollege | b
9-11,"""A1.10""",Moderne Databases | Werkcollege | c,Informatie- en organisatieontwerp | Hoorcollege,Compilerbouw practicum | Practica | b,Collectieve Intelligentie | Practica | a,Moderne Databases | Practica | b
9-11,"""B0.201""",Autonomous Agents 2 | Hoorcollege,Informatie- en organisatieontwerp | Practica | a,Algoritmen en complexiteit | Werkcollege | b,Heuristieken 2 | Werkcollege | b,Data Mining | Hoorcollege
9-11,"""C0.110""",Software Engineering | Hoorcollege,Webprogrammeren en databases | Hoorcollege,Collectieve Intelligentie | Hoorcollege,Collectieve Intelligentie | Practica | b,Technology for games | Hoorcollege
9-11,"""C1.112""",Kansrekenen 2 | Hoorcollege,Calculus 2 | Werkcollege | a,Moderne Databases | Hoorcollege,Webprogrammeren en databases | Hoorcollege,Moderne Databases | Practica | c
11-13,"""A1.04""",Heuristieken 2 | Werkcollege | a,Netwerken en systeembeveiliging | Practica | a,Moderne Databases | Practica | a,Interactie-ontwerp | Hoorcollege,Reflectie op de digitale cultuur | Werkcollege | a
11-13,"""A1.06""",Technology for games | Werkcollege | c,Project Numerical Recipes | Practica | a,Technology for games | Werkcollege | a,Webprogrammeren en databases | Practica | c,Collectieve Intelligentie | Werkcollege | d
11-13,"""A1.08""",Architectuur en computerorganisatie | Hoorcollege,Data Mining | Practica | c,Moderne Databases | Werkcollege | b,Data Mining | Practica | b,Reflectie op de digitale cultuur | Werkcollege | b
11-13,"""A1.10""",Compilerbouw | Practica | b,Webprogrammeren en databases | Werkcollege | c,Reflectie op de digitale cultuur | Hoorcollege,Lineaire Algebra | Hoorcollege,Technology for games | Hoorcollege
11-13,"""B0.201""",Algoritmen en complexiteit | Practica | b,Software Engineering | Practica | a,Compilerbouw practicum | Practica | a,Autonomous Agents 2 | Werkcollege | b,Calculus 2 | Werkcollege | b
11-13,"""C0.110""",Collectieve Intelligentie | Hoorcollege,Autonomous Agents 2 | Hoorcollege,,Kansrekenen 2 | Hoorcollege,Calculus 2 | Hoorcollege
11-13,"""C1.112""",,Project Numerical Recipes | Practica | b,Bioinformatica | Hoorcollege,Heuristieken 1 | Werkcollege | a,Reflectie op de digitale cultuur | Hoorcollege
13-15,"""A1.04""",Informatie- en organisatieontwerp | Werkcollege | c,Data Mining | Werkcollege | a,Programmeren in Java 2 | Practica | e,Advanced Heuristics | Hoorcollege,Calculus 2 | Werkcollege | c
13-15,"""A1.06""",Programmeren in Java 2 | Practica | b,,Netwerken en systeembeveiliging | Practica | c,Advanced Heuristics | Practica | b,Technology for games | Werkcollege | b
13-15,"""A1.08""",Project Numerical Recipes | Practica | c,"Zoeken, sturen en bewegen | Practica | c",Project Genetic Algorithms | Practica | a,Informatie- en organisatieontwerp | Werkcollege | a,Moderne Databases | Werkcollege | a
13-15,"""A1.10""",Databases 2 | Werkcollege | b,,Software Engineering | Werkcollege | b,Heuristieken 2 | Hoorcollege,Collectieve Intelligentie | Practica | d
13-15,"""B0.201""",Data Mining | Hoorcollege,,Programmeren in Java 2 | Practica | c,Bioinformatica | Hoorcollege,Bioinformatica | Practica | a
13-15,"""C0.110""",Programmeren in Java 2 | Practica | a,Bioinformatica | Hoorcollege,"Zoeken, sturen en bewegen | Practica | b",Databases 2 | Hoorcollege,Collectieve Intelligentie | Hoorcollege
13-15,"""C1.112""",Heuristieken 1 | Werkcollege | b,Data Mining | Werkcollege | c,Analysemethoden en -technieken | Hoorcollege,Webprogrammeren en databases | Werkcollege | a,Algoritmen en complexiteit | Werkcollege | a
15-17,"""A1.04""",Advanced Heuristics | Practica | c,"Zoeken, sturen en bewegen | Practica | a",Project Genetic Algorithms | Practica | c,Architectuur en computerorganisatie | Hoorcollege,Collectieve Intelligentie | Werkcollege | a
15-17,"""A1.06""",Webprogrammeren en databases | Practica | b,Webprogrammeren en databases | Werkcollege | b,,Collectieve Intelligentie | Werkcollege | b,Webprogrammeren en databases | Practica | a
15-17,"""A1.08""",Reflectie op de digitale cultuur | Werkcollege | c,Collectieve Intelligentie | Werkcollege | c,Compilerbouw practicum | Practica | c,Advanced Heuristics | Practica | a,Informatie- en organisatieontwerp | Practica | b
15-17,"""A1.10""",Lineaire Algebra | Hoorcollege,,Algoritmen en complexiteit | Hoorcollege,Heuristieken 1 | Hoorcollege,Informatie- en organisatieontwerp | Hoorcollege
15-17,"""B0.201""",,Compilerbouw | Werkcollege | b,Project Genetic Algorithms | Practica | b,Compilerbouw | Werkcollege | a,Autonomous Agents 2 | Practica | b
15-17,"""C0.110""",,Compilerbouw | Hoorcollege,Software Engineering | Practica | b,Compilerbouw | Hoorcollege,Informatie- en organisatieontwerp | Practica | c
15-17,"""C1.112""",Machine Learning | Hoorcollege,Informatie- en organisatieontwerp | Werkcollege | b,Databases 2 | Werkcollege | a,Machine Learning | Hoorcollege,Software Engineering | Werkcollege | a
17-19,"""C0.110""",Machine Learning | Hoorcollege,Informatie- en organisatieontwerp | Werkcollege | b,Databases 2 | Werkcollege | a,Machine Learning | Hoorcollege,Software Engineering | Werkcollege | a
