Random Scheduling,Hillclimber,Exponential,Sigmoidal,Linear,Geman
-346,860,980,679,971,957
-401,855,975,677,958,957
-430,850,970,674,941,955
-446,843,960,668,937,950
-453,836,960,661,934,949
-455,835,960,660,932,945
-458,825,960,660,927,942
-463,820,960,656,925,942
-471,817,960,650,925,940
-474,815,960,648,925,938
-476,813,960,645,921,938
-478,813,960,644,917,937
-481,812,960,641,914,937
-500,810,960,640,913,937
-500,808,960,637,913,935
-500,808,957,634,912,935
-504,807,955,632,911,935
-505,806,955,631,906,935
-511,806,955,628,906,934
-512,806,955,628,906,933
-512,805,951,627,905,933
-518,805,951,625,904,933
-518,801,950,625,902,933
-520,801,950,624,900,930
-521,800,950,623,900,929
-522,799,950,623,900,928
-523,798,950,623,899,928
-524,798,947,622,899,927
-525,797,947,621,897,926
-526,795,945,621,897,925
-527,795,945,620,895,925
-530,793,944,620,895,925
-530,791,942,618,895,925
-531,791,940,618,895,924
-535,790,940,617,895,922
-541,788,940,616,894,921
-544,788,940,615,894,921
-545,787,940,615,894,920
-546,786,940,612,892,920
-549,786,940,611,891,919
-551,785,940,610,890,918
-551,785,940,609,890,918
-554,782,940,608,890,917
-555,782,940,607,890,917
-557,781,940,607,889,917
-557,781,940,606,889,917
-558,780,940,606,888,917
-558,780,940,606,888,915
-559,780,940,605,888,915
-560,780,940,605,887,915
-561,780,940,604,887,914
-562,780,940,604,887,914
-562,780,940,601,887,914
-563,780,940,601,886,914
-565,779,940,601,886,913
-566,776,940,600,886,912
-567,775,940,600,885,912
-568,775,940,599,885,912
-569,773,940,599,885,912
-569,771,940,599,885,912
-570,771,940,598,885,911
-570,771,940,598,885,911
-570,771,940,598,885,911
-570,771,940,597,885,910
-571,771,940,596,885,910
-571,770,940,596,884,909
-573,770,940,595,884,908
-577,770,940,595,883,908
-577,770,937,594,882,908
-578,770,935,594,882,908
-581,770,935,594,881,907
-582,770,935,593,881,907
-582,770,935,592,880,907
-583,770,935,591,880,907
-585,769,935,591,880,907
-585,768,935,590,880,907
-586,768,935,590,878,906
-588,767,931,590,878,906
-588,767,931,590,877,905
-589,767,931,590,877,905
-589,766,931,589,877,905
-591,766,931,589,877,905
-592,766,930,588,877,904
-592,766,930,588,876,902
-592,765,930,588,876,900
-593,765,930,587,876,900
-595,765,930,587,875,900
-595,764,930,586,875,900
-595,761,930,586,875,899
-596,761,930,586,875,899
-596,760,930,585,874,898
-596,760,930,585,874,898
-597,760,930,585,874,898
-598,760,930,585,874,898
-598,760,930,585,874,898
-598,760,930,584,874,898
-599,760,930,584,874,898
-599,760,930,584,873,898
-599,760,930,583,873,897
-599,759,930,583,873,897
-600,758,930,583,873,897
-600,757,930,583,872,897
-601,757,930,583,872,897
-601,757,930,583,872,897
-602,755,930,582,872,897
-603,755,926,582,871,896
-603,755,926,582,871,896
-603,755,926,582,870,896
-604,754,926,581,870,895
-606,753,925,581,870,895
-606,752,925,580,870,895
-608,751,925,580,870,895
-608,751,925,579,869,895
-609,751,925,579,869,895
-609,751,924,579,869,895
-609,750,921,579,868,895
-610,750,920,578,868,895
-611,750,920,578,868,894
-611,750,920,578,868,894
-612,750,920,578,867,894
-612,750,920,577,867,893
-612,750,920,577,867,893
-612,750,920,576,866,893
-613,749,920,575,866,893
-613,747,920,575,866,893
-613,747,920,575,866,893
-614,747,920,575,866,893
-615,747,920,574,866,893
-615,747,920,573,865,893
-615,747,920,573,865,892
-615,747,920,573,865,892
-615,746,920,573,865,892
-617,746,920,573,865,892
-618,746,920,572,865,891
-619,746,920,572,865,891
-619,746,920,571,864,891
-619,746,920,571,864,891
-619,745,920,571,864,890
-620,745,920,570,864,890
-620,745,920,570,864,890
-621,745,920,570,864,890
-621,745,920,570,863,890
-621,745,920,569,863,889
-621,745,920,569,863,889
-622,745,920,569,862,889
-622,744,920,569,862,889
-623,743,920,569,862,889
-624,742,920,568,862,888
-625,742,920,568,862,888
-625,742,920,568,862,888
-626,742,920,568,862,888
-626,741,920,568,861,888
-626,741,920,567,861,888
-627,741,920,567,861,888
-627,741,920,567,861,887
-627,741,920,567,861,887
-627,741,920,566,861,886
-628,741,920,566,861,886
-628,740,920,566,860,886
-628,740,920,566,860,886
-629,740,920,565,860,886
-629,740,920,565,860,886
-629,740,920,565,860,885
-631,740,920,565,860,885
-631,738,920,565,860,885
-631,737,920,564,860,885
-631,737,920,563,860,885
-631,737,920,563,859,885
-631,737,920,562,859,885
-631,737,920,562,859,885
-632,737,920,562,859,884
-632,737,920,562,859,884
-632,737,920,562,858,884
-632,737,920,561,858,884
-633,736,920,561,858,884
-633,736,920,560,858,884
-634,735,920,560,858,883
-634,735,920,560,858,883
-634,735,920,560,857,883
-634,735,920,560,857,883
-635,735,918,559,857,883
-636,735,918,558,857,883
-636,734,917,558,857,883
-636,733,917,557,857,883
-637,732,916,557,857,882
-638,732,915,557,857,882
-638,732,915,557,857,882
-638,732,915,557,856,882
-638,732,915,556,856,882
-638,731,915,556,856,881
-639,731,915,556,856,881
-640,731,915,556,856,881
-640,731,915,556,855,881
-641,730,915,556,855,881
-641,730,915,556,855,880
-641,730,915,556,855,880
-641,730,915,556,855,880
-642,730,915,556,855,880
-642,730,915,556,855,880
-642,730,915,556,855,880
-643,730,915,555,855,880
-643,730,915,555,854,880
-643,730,915,555,854,880
-644,730,915,555,854,879
-645,730,912,554,853,879
-646,730,912,554,853,879
-646,730,912,554,853,879
-646,730,911,553,853,879
-646,729,911,553,853,878
-646,729,911,553,852,878
-648,728,911,553,852,878
-648,728,910,553,852,878
-648,727,910,553,852,878
-648,727,910,552,852,877
-649,727,910,552,852,877
-649,727,910,551,852,877
-649,726,910,551,851,877
-649,726,910,551,851,877
-649,726,910,550,851,877
-650,726,910,550,851,877
-650,726,910,550,851,877
-650,726,910,550,851,877
-650,725,910,550,850,876
-651,725,910,549,850,876
-651,725,910,549,850,876
-651,725,910,548,850,876
-651,725,910,548,850,876
-651,725,910,547,850,876
-652,725,910,547,850,876
-653,725,910,547,850,875
-653,725,910,547,850,875
-654,725,910,547,850,875
-654,724,910,546,850,875
-654,723,910,546,850,875
-655,723,910,546,850,875
-655,723,910,545,850,875
-655,723,910,545,850,875
-656,723,910,544,850,875
-657,722,910,544,850,875
-657,722,910,543,850,875
-657,722,910,542,850,875
-657,722,910,542,850,874
-657,722,907,542,849,874
-657,721,907,542,849,874
-658,721,906,542,849,874
-659,721,906,542,849,873
-659,721,906,541,849,873
-660,721,905,541,848,873
-660,721,905,541,848,873
-661,720,905,541,848,873
-662,720,905,541,848,873
-663,720,905,540,848,873
-663,720,905,540,848,873
-663,720,905,540,847,873
-663,720,902,540,847,873
-663,720,901,540,847,873
-664,720,901,539,847,872
-664,718,901,539,847,872
-664,718,901,539,847,872
-664,717,900,539,846,872
-665,717,900,538,846,872
-665,717,900,538,846,872
-665,717,900,538,846,871
-665,716,900,538,846,871
-666,716,900,538,846,870
-666,715,900,537,846,870
-666,715,900,537,846,870
-666,715,900,537,846,870
-666,714,900,536,846,870
-667,714,900,536,846,870
-667,713,900,536,845,870
-667,713,900,536,845,869
-667,713,900,536,845,869
-668,713,900,536,845,869
-668,712,900,535,845,869
-668,712,900,535,845,868
-668,712,900,535,845,868
-668,712,900,535,844,868
-669,712,900,535,844,868
-669,712,900,535,844,868
-669,711,900,535,844,868
-669,711,900,534,844,868
-669,711,900,534,844,868
-669,711,900,534,844,867
-669,711,900,534,843,867
-669,711,900,534,843,867
-669,711,900,533,843,867
-670,711,900,533,843,867
-670,710,900,533,843,867
-670,710,900,533,843,867
-672,710,900,532,843,867
-672,710,900,532,843,867
-672,710,900,532,842,867
-673,710,900,532,842,867
-673,710,900,532,842,867
-673,710,900,531,842,866
-673,709,900,531,842,866
-673,708,900,531,842,866
-673,708,900,530,842,866
-674,708,900,530,841,865
-674,708,900,530,841,865
-674,707,900,530,841,865
-675,707,900,529,841,865
-675,707,900,529,841,865
-675,707,900,529,841,865
-675,707,900,529,841,865
-675,707,900,529,841,864
-675,707,900,528,841,864
-676,706,900,528,840,864
-676,706,900,528,840,864
-677,706,900,527,840,864
-678,706,900,527,840,864
-678,705,900,527,840,864
-679,705,900,527,840,864
-679,705,900,527,840,863
-679,705,900,527,840,863
-679,705,900,527,840,863
-679,705,900,527,840,863
-679,705,900,527,840,863
-680,705,900,526,840,863
-680,705,900,526,840,863
-680,705,900,526,839,863
-681,705,900,526,839,862
-681,704,900,526,839,861
-681,703,900,526,839,861
-681,702,900,525,838,860
-681,702,900,525,838,860
-681,702,900,525,838,860
-681,702,900,525,838,860
-681,701,900,525,838,860
-682,701,898,524,838,860
-682,701,898,524,838,860
-682,701,898,524,837,860
-683,701,897,524,837,860
-683,701,897,523,837,860
-683,701,897,523,837,860
-684,701,896,523,837,860
-684,700,896,523,837,859
-684,700,895,523,837,859
-684,700,895,523,836,859
-684,700,895,523,836,859
-685,700,895,523,836,858
-685,700,895,523,836,858
-685,700,895,522,836,858
-685,700,895,522,836,858
-685,700,895,522,835,858
-686,699,895,522,835,858
-686,698,895,522,835,858
-686,698,895,521,835,858
-686,698,895,521,835,858
-687,698,895,521,835,857
-687,697,895,521,835,857
-688,697,895,521,834,857
-688,697,895,521,834,857
-689,697,895,521,834,857
-689,697,895,521,834,857
-689,697,895,521,834,857
-690,696,895,521,834,857
-690,696,895,520,834,857
-690,696,895,520,834,857
-690,696,895,520,834,856
-691,695,895,520,833,856
-692,695,895,520,833,856
-692,695,893,520,833,856
-692,695,893,519,833,856
-692,695,892,519,833,855
-693,695,891,519,833,855
-693,694,891,519,833,855
-693,694,891,519,833,855
-693,694,891,518,833,855
-693,693,891,518,832,855
-694,693,891,518,832,855
-694,693,891,518,832,855
-694,693,891,517,832,855
-694,692,891,516,832,855
-694,692,890,516,832,855
-695,691,890,516,832,855
-695,691,890,516,832,855
-695,691,890,516,831,855
-696,691,890,516,831,855
-696,691,890,516,831,855
-696,691,890,516,831,855
-696,690,890,515,831,854
-696,690,890,515,831,854
-696,690,890,515,831,854
-697,690,890,514,830,854
-697,690,890,514,830,854
-697,690,890,514,830,854
-697,690,890,514,830,853
-698,690,890,514,830,853
-698,690,890,514,830,853
-698,690,890,513,829,853
-698,690,890,513,829,853
-698,689,890,513,829,852
-698,688,890,513,829,852
-699,688,890,513,829,852
-699,688,890,513,829,852
-699,688,890,513,829,852
-699,687,890,512,829,852
-700,686,890,512,829,852
-700,686,890,512,828,852
-700,686,890,512,828,852
-700,686,890,512,828,852
-700,686,890,512,828,852
-701,686,890,511,828,851
-701,686,890,511,828,851
-701,685,890,511,828,851
-701,685,890,511,828,851
-701,685,890,511,827,851
-702,685,890,511,827,851
-703,685,890,511,827,851
-703,685,890,510,827,851
-703,685,890,510,827,850
-703,685,890,510,827,850
-704,685,890,510,827,850
-704,684,890,510,826,850
-704,684,890,510,826,850
-704,684,887,509,826,850
-705,684,887,508,826,850
-705,684,887,508,826,850
-705,683,887,508,826,850
-705,683,886,508,826,850
-705,682,886,507,826,850
-706,682,886,507,825,849
-706,681,886,507,825,849
-707,681,886,507,825,849
-707,681,885,507,825,849
-707,681,885,506,825,849
-708,681,885,506,825,849
-708,681,885,506,825,849
-708,680,885,506,824,849
-709,680,885,506,824,849
-709,680,885,506,824,849
-709,680,885,506,824,849
-710,680,885,506,824,849
-710,680,885,505,824,849
-710,680,885,505,824,848
-710,680,881,505,824,848
-711,680,881,505,823,848
-711,680,881,505,823,848
-712,680,881,505,823,848
-712,680,880,505,823,848
-712,680,880,505,823,848
-712,679,880,505,822,848
-713,679,880,504,822,847
-713,679,880,504,822,847
-713,679,880,504,822,847
-713,679,880,503,822,847
-713,678,880,503,822,847
-713,678,880,503,822,847
-714,678,880,503,822,847
-714,677,880,503,822,847
-715,677,880,502,822,847
-715,677,880,502,821,846
-715,677,880,502,821,846
-715,677,880,502,821,846
-715,677,880,501,821,846
-715,676,880,501,821,846
-715,676,880,501,821,846
-716,676,880,501,821,846
-716,676,880,500,821,845
-716,676,880,500,820,845
-716,676,880,500,820,845
-716,676,880,499,820,845
-717,676,880,499,820,845
-717,675,880,499,820,845
-717,675,880,498,820,845
-717,675,880,498,820,845
-717,675,880,498,820,845
-718,675,880,498,820,845
-718,675,880,498,820,845
-718,675,880,498,820,845
-719,675,880,497,819,845
-719,675,880,497,819,845
-720,675,880,496,819,844
-720,675,880,496,818,844
-720,674,880,496,818,844
-720,674,880,496,818,844
-720,673,880,496,818,844
-720,673,880,496,818,844
-721,673,880,496,817,844
-721,672,880,495,817,843
-721,672,880,495,817,843
-721,672,880,495,817,843
-721,672,880,494,817,843
-722,671,880,494,817,843
-722,671,880,493,817,843
-722,671,880,493,816,843
-723,671,880,493,816,843
-723,671,880,493,816,843
-723,671,880,492,816,843
-723,671,880,492,816,843
-723,671,880,492,816,843
-724,670,880,492,816,843
-724,670,880,492,815,842
-724,670,880,491,815,842
-724,670,880,491,815,842
-724,670,880,491,815,842
-724,669,880,491,815,842
-725,669,880,491,815,842
-725,669,880,491,815,841
-725,667,880,491,815,841
-725,667,880,491,814,841
-725,667,880,490,814,841
-725,667,880,490,814,841
-725,667,880,490,814,841
-726,666,880,490,814,841
-726,666,880,490,814,841
-726,666,880,489,813,840
-726,666,880,489,813,840
-726,666,880,489,813,840
-726,666,880,489,813,840
-726,666,880,489,813,840
-727,666,880,488,813,840
-727,666,880,488,813,840
-727,665,880,488,812,840
-728,665,878,487,812,839
-728,665,878,487,812,839
-729,665,877,487,812,839
-729,665,877,487,812,839
-729,665,877,487,811,839
-730,665,877,487,811,839
-731,665,875,486,811,839
-731,665,875,486,811,838
-732,665,875,486,811,838
-733,665,875,486,811,838
-733,665,875,486,811,838
-734,664,875,486,811,838
-734,664,875,485,811,838
-734,664,875,485,810,838
-735,664,875,485,810,838
-735,663,875,485,810,838
-735,663,875,485,810,838
-735,663,875,485,810,837
-736,663,875,484,810,837
-736,663,875,484,810,837
-736,662,875,484,810,837
-736,662,875,484,810,837
-736,662,875,483,810,837
-736,662,875,483,810,837
-737,661,875,483,810,837
-737,661,875,483,810,837
-737,661,875,483,810,836
-737,661,875,483,810,836
-738,661,875,482,809,836
-739,661,875,482,809,836
-739,661,875,482,809,836
-739,660,875,481,809,836
-739,660,875,481,809,836
-740,660,875,481,808,836
-740,660,875,481,808,836
-740,660,875,481,808,835
-741,660,875,481,808,835
-742,660,875,481,808,835
-742,659,875,481,808,835
-742,658,875,481,808,835
-742,658,875,481,808,835
-742,657,875,480,808,835
-742,657,873,480,808,835
-743,657,871,480,808,835
-743,657,871,480,808,835
-743,657,871,480,807,835
-743,657,871,480,807,835
-743,656,871,480,807,835
-743,656,871,480,807,835
-743,656,871,479,807,834
-744,656,871,479,807,834
-744,656,871,479,807,834
-744,656,870,479,807,834
-745,655,870,479,806,833
-745,655,870,478,806,833
-745,655,870,478,806,833
-745,655,870,477,806,833
-745,655,870,477,806,833
-746,655,870,477,806,833
-746,655,870,477,806,833
-746,655,870,477,805,833
-746,655,870,476,805,833
-746,654,870,476,805,832
-746,654,870,476,805,832
-747,653,870,476,805,832
-747,653,870,476,805,832
-747,653,870,476,805,832
-747,653,870,476,805,832
-749,653,870,475,804,832
-749,652,870,475,804,831
-749,652,870,475,804,831
-750,652,870,475,804,831
-750,652,870,475,804,831
