Random Scheduling,Hillclimber,Exponential,Linear
1004,1141,1316,1135
934,1243,1296,1106
957,1152,1286,1124
941,1253,1284,1267
932,1188,1282,1133
953,1070,1280,1210
962,1295,1280,1228
932,1167,1279,1131
889,1124,1279,1129
949,1229,1276,1138
919,1182,1274,1153
932,1144,1271,1100
970,1100,1270,1203
944,1077,1270,1175
984,1101,1268,1134
939,1288,1267,1114
1037,1122,1263,1166
978,1237,1262,1149
962,1247,1262,1097
908,1210,1261,1137
957,1144,1257,1128
930,1159,1257,1140
960,1104,1257,1088
963,1166,1257,1209
885,1216,1256,1178
872,1180,1256,1211
981,1228,1256,1201
901,1249,1255,1163
826,1216,1255,1113
999,1195,1253,1202
926,1164,1252,1208
1024,1171,1252,1138
903,1162,1251,1201
949,1203,1250,1141
973,1195,1250,1170
879,1194,1249,1100
938,1108,1248,1178
930,1188,1247,1166
1019,1233,1247,1227
901,1242,1246,1180
973,1230,1245,1119
1004,1222,1245,1113
981,1117,1245,1185
1007,1121,1244,1161
973,1186,1243,1209
867,1165,1243,1172
945,1145,1243,1150
985,1218,1243,1110
983,1192,1242,1095
949,1178,1242,1149
997,1194,1240,1121
924,1111,1240,1166
1005,1234,1239,1127
960,1182,1238,1184
990,1183,1236,1120
964,1173,1236,1198
947,1210,1235,1117
957,1158,1235,1016
942,1118,1235,1186
954,1084,1235,1198
1061,1153,1235,1178
969,1146,1234,1105
929,1146,1234,1200
906,1166,1234,1137
982,1208,1234,1171
918,1126,1234,1143
955,1267,1233,1142
1012,1154,1233,1054
863,1154,1232,1151
933,1145,1232,1086
1006,1105,1231,1122
877,1121,1229,1119
947,1155,1228,1099
979,1218,1228,1125
968,1147,1227,1222
906,1195,1226,1102
1008,1274,1226,1246
977,1213,1226,1086
1004,1179,1226,1154
909,1241,1225,1210
1014,1146,1225,1202
994,1168,1225,1135
1011,1168,1225,1125
930,1143,1225,1205
992,1040,1224,1128
991,1143,1224,1227
987,1223,1224,1235
1043,1151,1224,1159
1052,1122,1223,1175
940,1173,1223,1178
931,1200,1223,1077
933,1158,1223,1054
968,1096,1222,1225
970,1135,1222,1273
953,1197,1222,1147
967,1199,1222,1053
956,1148,1222,1188
907,1173,1222,1127
884,1174,1222,1128
928,1238,1221,1192
941,1128,1221,1101
962,1142,1220,1200
969,1216,1220,1167
975,1115,1219,1141
958,1199,1219,1228
916,1129,1219,1198
872,1178,1219,1179
943,1211,1217,1147
968,1151,1217,1105
925,1226,1217,1168
977,1252,1217,1232
1063,1129,1216,1235
982,1235,1216,1172
1020,1176,1215,1167
948,1142,1215,1138
957,1131,1215,1195
930,1278,1215,1178
956,1164,1214,1173
1041,1131,1214,1197
898,1159,1214,1272
977,1214,1214,1150
962,1130,1213,1107
930,1195,1213,1124
1024,1261,1212,1086
933,1170,1212,1116
948,1213,1211,1091
967,1166,1211,1131
967,1085,1210,1161
940,1183,1210,1196
985,1171,1210,1165
941,1170,1210,1184
869,1144,1209,1098
892,1150,1209,1173
945,1188,1209,1105
868,1144,1209,1180
848,1214,1208,1152
930,1241,1208,1197
846,1127,1208,1115
828,1119,1207,1138
984,1196,1206,1163
863,1183,1206,1180
989,1084,1206,1164
937,1131,1205,1149
972,1121,1205,1057
974,1153,1205,1141
849,1167,1205,1149
967,1259,1204,1117
939,1184,1204,1066
988,1193,1203,1171
976,1130,1203,1167
852,1162,1203,1092
996,1145,1203,1149
961,1160,1203,1189
896,1195,1202,1231
907,1202,1202,1202
910,1164,1202,1151
911,1142,1202,1173
921,1159,1201,1000
972,1190,1201,1094
985,1157,1201,1125
822,1140,1201,1090
1007,1139,1201,1171
977,1233,1201,1144
896,1201,1201,1127
805,1161,1201,1197
942,1257,1200,1138
906,1202,1199,1204
938,1155,1199,1098
1021,1117,1198,1140
914,1084,1198,1163
993,1195,1198,1207
926,1272,1198,1173
926,1123,1197,1164
842,1235,1197,1007
967,1193,1197,1136
1028,1231,1197,1188
1005,1134,1197,1130
876,1218,1196,1159
774,1093,1196,1217
1011,1132,1195,1058
976,1172,1195,1133
989,1160,1195,1123
983,1186,1194,1124
962,1084,1193,1190
996,1129,1193,1154
862,1097,1193,1177
868,1160,1193,1172
935,1186,1192,1162
955,1147,1192,1186
934,1224,1192,1113
950,1219,1192,1152
1032,1147,1191,1224
965,1223,1191,1225
914,1221,1190,1089
1007,1218,1190,1157
992,1166,1189,1142
1006,1167,1188,1124
906,1132,1188,1095
920,1080,1187,1156
881,1199,1187,1251
947,1098,1187,1041
974,1136,1187,1121
942,1238,1187,1225
972,1081,1186,1199
916,1161,1186,1156
1019,1116,1185,1144
934,1181,1185,1127
879,1181,1184,1198
1045,1123,1184,1100
946,1184,1184,1074
976,1234,1184,1150
1008,1131,1183,1144
1022,1198,1183,1165
989,1181,1182,1103
979,1182,1182,1212
915,1158,1182,1095
793,1271,1182,1141
862,1260,1181,1109
963,1217,1180,1101
1007,1148,1180,1089
993,1191,1180,1177
1022,1158,1180,1111
969,1177,1179,1136
926,1136,1179,1141
958,1253,1179,1091
928,1165,1178,1140
957,1235,1178,1136
884,1198,1177,1025
991,1268,1177,1205
992,1089,1177,1121
850,1146,1177,1210
913,1176,1177,1121
871,1084,1177,1116
989,1013,1176,1130
1003,1153,1176,1195
1056,1146,1176,1154
968,1284,1176,1204
975,1182,1174,1180
993,1076,1173,1157
1026,1201,1173,1195
951,1183,1173,1114
874,1243,1173,1166
918,1182,1172,1099
919,1251,1172,1232
934,1271,1171,1212
995,1130,1171,1161
964,1183,1171,1136
806,1149,1171,1116
958,1138,1171,1149
989,1163,1171,1127
920,1182,1170,1115
995,1181,1170,1175
954,1232,1170,1095
791,1068,1170,1148
985,1193,1169,1147
935,1133,1169,1180
948,1155,1168,1113
888,1163,1168,1107
928,1201,1167,1080
889,1064,1167,1143
983,1169,1167,1135
953,1162,1167,1128
929,1165,1166,1156
919,1111,1166,1187
921,1089,1165,1179
888,1193,1165,1190
897,1132,1165,1145
984,1167,1165,1149
914,1247,1165,1144
1007,1122,1165,1068
944,1201,1164,1084
973,1147,1164,1060
944,1173,1164,1193
977,1211,1164,1153
902,1165,1164,1121
963,1124,1163,1077
976,1143,1163,1217
911,1081,1163,1170
888,1168,1163,1142
963,1166,1163,1175
941,1215,1162,1217
1002,1095,1161,1211
865,1128,1161,1154
904,1187,1160,1152
905,1142,1160,1140
948,1191,1160,1030
994,1186,1158,1191
931,1136,1158,1054
986,1122,1158,1112
984,1176,1158,1155
1014,1085,1158,1129
1049,1186,1157,1116
924,1203,1157,1197
1018,1188,1157,1080
988,1195,1157,1113
1035,1118,1157,1147
920,1191,1156,1093
843,1102,1156,1154
973,1138,1156,1031
986,1140,1156,1164
1069,1181,1156,1198
1031,1077,1156,1163
996,1167,1156,1135
960,1049,1155,1157
989,1166,1155,1196
999,1170,1154,1074
879,1190,1154,1152
974,1155,1153,1176
1012,1176,1153,1110
998,1158,1153,1239
945,1159,1153,1142
1000,1099,1152,1192
1029,1236,1152,1163
1044,1196,1152,1176
948,1238,1151,1165
927,1176,1151,1134
918,1143,1151,1204
949,1159,1151,1139
905,1227,1151,1121
990,1147,1150,1103
976,1137,1150,1104
990,1127,1149,1181
1027,1190,1148,1127
958,1210,1147,1159
1011,1089,1147,1096
925,1165,1146,1189
932,999,1146,1118
896,1136,1146,1142
901,1132,1146,1186
890,1178,1145,1068
953,1112,1143,1188
927,1153,1143,1124
975,1163,1143,1212
965,1140,1139,1139
921,1147,1139,1173
938,1115,1139,1065
954,1127,1139,1223
1030,1180,1138,1192
944,1192,1138,1200
986,1086,1138,1096
908,1202,1137,1165
957,1200,1136,1202
983,1075,1136,1104
